constant,32767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,32767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,32767,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,100,126
constant,32767,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,100,127
constant,32767,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,32767,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,100,-127
constant,32767,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,100,-2
constant,-32767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,-32767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,-32767,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,100,-126
constant,-32767,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,100,-127
constant,-32767,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,-32767,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,100,127
constant,-32767,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,100,2
constant,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,20000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,20000,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,100,77
constant,20000,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,100,77
constant,20000,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,20000,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,100,-77
constant,20000,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,100,-1
constant,-20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,-20000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,-20000,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,100,-77
constant,-20000,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,100,-77
constant,-20000,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,-20000,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,100,77
constant,-20000,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,100,1
constant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0
constant,1,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,100,0
